TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
"FunctionCompartmentation ",,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,90,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.14,NA,NA,"Ability of a partitioning element to prevent the spread of fire (for example, by the passage of flames or hot gases - see airtightness) or by ignition beyond the exposed surface (see thermal insulation) during the relevant fire situation.","Capacidade de um elemento de compartimentação para impedir a propagação do fogo (por exemplo, pela passagem de chamas ou de gases quentes – ver estanquidade) ou por ignição para além da superfície exposta (ver isolamento térmico) durante a situação de incêndio relevante.","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21)",European Standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Boolean (yes/no),NA,,,Yes,Compartmentation function,Função de compartimentação,,,"ALREADY COPIED
Ability of a partitioning element to prevent the spread of fire (for example, by the passage of flames or hot gases - see airtightness) or by ignition beyond the exposed surface (see thermal insulation) during the relevant fire situation.","ALREADY COPIED
Capacidade de um elemento de compartimentação para impedir a propagação do fogo (por exemplo, pela passagem de chamas ou de gases quentes – ver estanquidade) ou por ignição para além da superfície exposta (ver isolamento térmico) durante a situação de incêndio relevante.",,Fire Compartment,"0. BUILDING INFORMATION, 1.2 Fire Compartment boundary",,,,Interpretation based on another reference document,pt-PT,,NA,,
RiskFireActivation,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,79,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - Artigo 1.5.3.6,NA,NA,"Parameter that takes into account the probability of ignition, depending on the area of the room and occupancy.","Parâmetro que tem em conta a probabilidade de ignição, função da área do compartimento e da ocupação.",,European Standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Number,NA,NA,NP EN 1991‑1‑2:2010 (https://www.notion.so/NP-EN-1991-1-2-2010-2a7f8487e6e78073bf6bf519aaa46d11?pvs=21),Yes,Risk of fire activation,Risco de ativação de incêndio,NA,,"ALREADY COPIED

Parameter that takes into account the probability of ignition, depending on the area of the room and occupancy.","ALREADY COPIED 

Parâmetro que tem em conta a probabilidade de ignição, função da área do compartimento e da ocupação.",,Fire Compartment,,,,,Interpretation based on another reference document,pt-PT,,NA,,
FireLoadDensity,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,107,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.3.7,NA,NA,"Fire load per unit area of the floor surface (qf) or per unit area of the total envelope surface, including openings (qt).","Carga de incêndio por unidade de área da superfície do pavimento (qf), ou por unidade de área da superfície da envolvente total, incluindo as aberturas (qt).",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),European Standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,MJ/m^2,Number,NA,,,Yes,Fire load density,Densidade de carga de incêndio,,,"ALREADY COPIED

Fire load per unit area of the floor surface, qf, or per unit area of the total envelope surface, including openings, qt.","ALREADY COPIED

Carga de incêndio por unidade de área da superfície do pavimento, qf, ou por unidade de área da superfície da envolvente total, incluindo as aberturas, qt.",,Fire Compartment,0. BUILDING INFORMATION,,,,,pt-PT,,NA,,
FireLoad,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,108,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.3.8,NA,NA,The sum of the thermal energy released by the combustion of all combustible materials in a space (the building's contents and construction elements).,Soma da energia térmica libertada pela combustão de todos os materiais combustíveis existentes num espaço (o recheio do edifício e os elementos de construção).,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),European Standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,MJ,Number,NA,,,Yes,Fire load,Carga de incêndio,,,"ALREADY COPIED

The sum of the thermal energy released by the combustion of all combustible materials in a space (the building's contents and construction elements).","ALREADY COPIED

Soma da energia térmica libertada pela combustão de todos os materiais combustíveis existentes num espaço (o recheio do edifício e os elementos de construção).",,Fire Compartment,0. BUILDING INFORMATION,,,,,pt-PT,,NA,,
FireScenario,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,78,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.3.9,NA,NA,"Qualitative description of the evolution of a fire over time, identifying the main events that characterise the fire and differentiate it from other possible fires. It typically defines the ignition and growth process of the fire, the fully developed fire phase, the cooling phase, as well as the ambient conditions and building systems that will have an impact on the evolution of the fire.","Descrição qualitativa da evolução de um incêndio com o tempo, identificando os principais acontecimentos que caracterizam o incêndio e o diferenciam de outros incêndios possíveis. Define, tipicamente, a ignição e o processo de crescimento do incêndio, a fase do incêndio totalmente desenvolvido, a fase de arrefecimento, assim como as condições ambientes e os sistemas do edifício que terão impacto na evolução do incêndio.",,European standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Choice,Enumeration (choice),NA,NA,,Yes,Fire scenario,Cenário de incêndio,“3. GENERIC DEFINITION - WE ADD IT BECAUSE ITS A GENERIC DEFINITION AND ITS NOT RELATED DIRECTLY WITH THE BUILDING - NEED TO BE DISCUSTED,,"ALREADY COPIED

Qualitative description of the evolution of a fire over time, identifying the main events that characterise the fire and differentiate it from other possible fires. It typically defines the ignition and growth process of the fire, the fully developed fire phase, the cooling phase, as well as the ambient conditions and building systems that will have an impact on the evolution of the fire.","ALREADY COPIED

Descrição qualitativa da evolução de um incêndio com o tempo, identificando os principais acontecimentos que caracterizam o incêndio e o diferenciam de outros incêndios possíveis. Define, tipicamente, a ignição e o processo de crescimento do incêndio, a fase do incêndio totalmente desenvolvido, a fase de arrefecimento, assim como as condições ambientes e os sistemas do edifício que terão impacto na evolução do incêndio.",,Fire Compartment,3. GENERIC DEFINITION,,,,Interpretation based on another reference document,pt-PT,,NA,,
NominalCurve,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,161,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.3.15,NA,NA,"Nominal curve, defined in EN 13501-2, intended to represent a model of a fully developed fire in a compartment.","Curva nominal, definida na EN 13501-2, destinada a representar um modelo de um incêndio totalmente desenvolvido num compartimento.",1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21),European Standard,,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,,NA,,NP EN 1991‑1‑2:2010 (https://www.notion.so/NP-EN-1991-1-2-2010-2a7f8487e6e78073bf6bf519aaa46d11?pvs=21),Yes,Standard fire curve,Curva de incêndio padrão,,,"ALREADY COPIED

Nominal curve, defined in EN 13501-2, intended to represent a model of a fully developed fire in a compartment","ALREADY COPIED

Curva nominal, definida na EN 13501-2, destinada a representar um modelo de um incêndio totalmente desenvolvido num compartimento",,Fire Compartment,1.2 Fire Compartment boundary,,,,Interpretation based on another reference document,pt-PT,,,,
HeightOccupancy,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,173,,,,,Explicit Definition,n.º 2 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,"Difference in elevation between the reference plane and the floor of the last floor above ground that can be occupied by that occupancy, in accordance with the following conditions","Diferença de cota entre o plano de referência e o pavimento do último piso acima do solo, suscetível de ocupação por essa utilização-tipo, de acordo com as seguintes condições",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,m,Number,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Height of an occupancy,Altura da utilização-tipo,NA,,"ALREADY COPIED

Difference in elevation between the reference plane and the floor of the last floor above ground that can be occupied by that occupancy, in accordance with the following conditions","ALREADY COPIED

Diferença de cota entre o plano de referência e o pavimento do último piso acima do solo, suscetível de ocupação por essa utilização-tipo, de acordo com as seguintes condições",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
RefugeSpace,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,174,,,,,Explicit Definition,n.º 18 do art.º 4º do Anexo I do RT-SCIE,NA,NA,"A space within a building, temporarily safe, specially equipped with protective measures, so that people are not exposed to the direct effects of a fire in the building.","Local num edifício, temporariamente seguro, especialmente dotado de meios de proteção, de modo a que as pessoas não venham a sofrer dos efeitos diretos de um incêndio no edifício;","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Refuge space,Zona de refúgio,NA,,"ALREADY COPIED

A space within a building, temporarily safe, specially equipped with protective measures, so that people are not exposed to the direct effects of a fire in the building.","ALREADY COPIED

Local num edifício, temporariamente seguro, especialmente dotado de meios de proteção, de modo a que as pessoas não venham a sofrer dos efeitos diretos de um incêndio no edifício;",,Fire Compartment,"0. BUILDING INFORMATION, 1. COMPARTMENTATION, 1.1 Compartment Size",,,,Definition found on local regulation document,pt-PT,,NA,,
RiskCategory,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,175,,,,"RiskCategory1 (https://www.notion.so/RiskCategory1-268f8487e6e780fc8415c06451e46aea?pvs=21), RiskCategory2 (https://www.notion.so/RiskCategory2-268f8487e6e780189aedfa68bc5ec5b0?pvs=21), RiskCategory4 (https://www.notion.so/RiskCategory4-268f8487e6e780218ef8eb0ff171c221?pvs=21), RiskCategory3 (https://www.notion.so/RiskCategory3-268f8487e6e7805eaf54de089c3d69bc?pvs=21)",Explicit Definition,n.º 12 do art.º 1º do Anexo I do RT-SCIE ,NA,NA,"Classification into four levels of fire risk of any standard use of a building and premises, taking into account various risk factors, such as its height, the number of occupantes, the number of occupants in risk locations, the modified fire load density and the existence of floors below the reference plane, under the terms of article 12 of the RJ-SCIE","Classificação em quatro níveis de risco de incêndio de qualquer
utilização-tipo de um edifício e recinto, atendendo a diversos fatores de risco, como a sua altura, o efetivo, o efetivo em locais de risco, a densidade de carga de incêndio modificada e a existência de pisos abaixo do plano de referência, nos termos previstos no artigo 12.º do RJ-SCIE",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Choice,Enumeration (choice),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Risk category,Categoria de risco,NA,,"ALREADY COPIED

Classification into four levels of fire risk of any standard use of a building and premises, taking into account various risk factors, such as its height, the number of occupantes, the number of occupants in risk locations, the modified fire load density and the existence of floors below the reference plane, under the terms of article 12 of the RJ-SCIE","ALREADY COPIED

Classificação em quatro níveis de risco de incêndio de qualquer
utilização-tipo de um edifício e recinto, atendendo a diversos fatores de risco, como a sua altura, o efetivo, o efetivo em locais de risco, a densidade de carga de incêndio modificada e a existência de
pisos abaixo do plano de referência, nos termos previstos no artigo 12.º do RJ-SCIE",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
StoreysBelowReferencePlane,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,177,,,,,Expert Interpretation,NA,Number of floors below the reference plane,Number of floors below the reference plane,NA,NA,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),Fire Expert,NA	,NA,NA,"January 6, 2026 1:13 PM",,,,property,Unit,Number,NA,NA,,Yes,Number of floors below the reference plane,Número de pisos abaixo do plano de referência,NA,,"ALREADY COPIED 

Number of floors below the reference plane","ALREADY COPIED

Número de pisos abaixo do plano de referência",,Generic,0. BUILDING INFORMATION,,,,Interpretation made by the fire safety expert;,pt-PT,,NA,,
IndoorSpace,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,176,,,,,Expert Definition,NA,Espaço interior de um edifício.,Indoor room in a building.,NA,NA,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),Fire Expert,NA,NA,NA,"January 6, 2026 1:13 PM","Deprecated in IFC4.3
Other spaces may also be interior, so be careful when assuming this enumeration value is properly filled in.",,IfcSpace.INTERIOR,property,-,Boolean (yes/no),NA,NA,,Yes,Indoor space,Espaço coberto,Important in assigning the type of rooms,,"ALREADY COPIED 

Room in a building;","ALREADY COPIED 

Espaço interior de um edifício;",,Generic,0. BUILDING INFORMATION,,,,"
Interpretation made by the fire safety expert;",pt-PT,,NA,,
Room,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,179,,,,,Expert Definition,NA,"Compartimento, sala, espaço ou área de um edifício ou recinto","Compartment, room, space or area of a building or enclosure",NA,NA,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,,NA,NA,,Yes,Room,Local,Portuguese consortium definition,,"ALREADY COPIED

Compartment, room, space or area of a building or enclosure","ALREADY COPIED

Compartimento, sala, espaço ou área de um edifício ou recinto",,Generic,0. BUILDING INFORMATION,,,,Interpretation made by the fire safety expert;,pt-PT,,NA,,
SelfClosing,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,178,,,,,Explicit Definition,n.º 6 do art.º 3º do Anexo I ao RT-SCIE,NA,NA,"The ability of a construction element guarding a span, in a fire situation, to take or resume the position that guarantees the closure of the span without human intervention","Propriedade de um elemento de construção que guarnece um vão de, em situação de incêndio, tomar ou retomar a posição que garante o fecho do vão sem intervenção humana",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA	,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Boolean (yes/no),C,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Self-closing,"Fecho automático ",NA,,"ALREADY COPIED

The ability of a construction element guarding a span, in a fire situation, to take or resume the position that guarantees the closure of the span without human intervention","ALREADY COPIED

Propriedade de um elemento de construção que guarnece um vão de, em situação de incêndio, tomar ou retomar a posição que garante o fecho do vão sem intervenção humana",,Fire Compartment,0. BUILDING INFORMATION,,,,,pt-PT,,NA,,
